Nestle_PS,Novartis_N,Roche_Holding,UBS_N
186742.8,180911.3,152737.1,154998.7
186342.1,171210.2,150769.9,142257.6
210586.6,167146.3,147538.1,132675.5
205576.9,168457.3,148310.9,129801.8
210097.2,161509.1,138826.4,128454
213438.3,168719.4,151402.3,118604.8
204397.6,162820.1,137421.3,108652
189853.9,142893.6,137561.8,91898
196339.6,134896.9,143955.1,71245.81
195062.2,133454.8,131308.9,59843.01
195356.9,138174.3,121402.8,76203.44
201449.6,143549.1,126250.5,73607.19
176792.6,147482,129271.5,62874.05
176486.2,163737.8,136507.9,59765.55
186137.8,161378,130676.7,70792
184605.8,154784.1,122597.2,54135.19
172349.9,154387.5,124213.1,56745.16
168290,149364.6,119435.6,44428.41
159327.8,139318.9,114166.4,43519.3
153889.3,127105.3,114798.8,42932.81
146842.1,112829.8,93440.81,32434.21
147378.3,113887.2,109740.3,31378.57
143088.6,114733.1,101520.3,46774.6
148220.9,112353.9,102293.1,46715.94
156723.4,116160.9,103768.5,38973.95
160526.9,129085.2,118381.8,50355.45
160526.9,129454.4,118241.3,63032.97
161183.9,136760.7,117679.3,67496.69
174542.9,141772.2,115712.1,61554.73
173301.9,147047.4,115431,55434.85
183229.9,149025.6,123510.5,57107.13
184324.9,149948.8,125407.4,49919.84
195092.4,157597.9,126039.7,52695.16
197099.9,150212.6,120138.2,65659.63
192902.4,145201.1,119505.9,64625.42
191259.9,138475.2,111496.7,59492.27
180873,138738.9,104752.1,55393.28
178447.5,133331.8,95197.25,68188.06
182259,140717.1,96953.63,65813
181392.8,148629.9,94283.88,63897.64
186763.5,150476.3,101520.3,63821.13
189015.7,140453.4,96813.13,57576.98
189708.8,144937.3,96251.06,58802.87
176888.2,138607,100887.9,64855.53
182259,137420.1,98428.94,70679.5
182432.3,131406.3,92176.13,63132.67
186070.5,140987.5,98569.5,66235.63
189708.8,151009.1,105384.3,62596.34
181046.3,141399.4,98850.5,58727.18
174116.3,133162.5,99482.81,50222.65
172938.1,129016.6,99131.5,44706.2
173596.5,139477.4,103346.9,40377.35
167969.8,136210.1,101660.8,42957.54
168794.9,135111.9,101871.5,42842.61
178199.9,147439.8,111847.9,42842.61
174074.9,136731.8,109459.2,48016.42
182489.8,135331.6,110653.6,48476.28
187439.9,137171.1,110372.5,48476.28
183479.8,137418.3,116484.8,43417.89
181664.8,136527.3,106508.4,41961.68
182362.3,143157.4,114939.2,42344.89
193649.1,155064.7,121754,39432.49
191391.7,152223.3,122105.3,40927.01
191230.4,155741.3,123440.2,43877.74
190585.6,151681.9,125828.9,53496.34
195584,155200,128147.3,55565.68
192197.9,155470.6,129271.4,54684.3
206064.6,167783.8,141496.1,60470.8
211224.3,172249,150840.1,56830.28
221382.4,182532.6,155266.3,55757.29
214126.6,186862.4,163275.5,63613.09
204613.4,186727.1,167982.7,65184.27
199776.3,181585.4,165102.1,61620.39
202194.8,180232.3,160184.2,69859.44
196873.9,183615,163064.8,69054.69
203968.5,188080.3,171354.9,70894.13
211224.3,190651.1,176483.7,67455.38
213481.6,193898.6,177537.5,66379.81
210579.3,192680.8,175078.6,64996.88
212191.6,194304.4,175148.8,69117.5
214771.5,198769.7,190675.4,72498.5
214610.3,202964.3,186179,70154.81
219125,206482.3,181261.1,70718.13
226542.1,217307.1,185125.2,69107.19
221543.6,217307.1,185827.8,62539.24
217835.1,215277.4,185968.3,60235.86
