Date,Nestle_PS,Novartis_N,UBS_N,Roche_Holding
30.08.19,110.3,87.85,10.42,270.65
30.09.19,107.7,86.38,11.26,288.6
31.10.19,104.74,87.64,11.975,294.6
29.11.19,103.92,92.06,12.12,308.2
31.12.19,106.4,93.11,12.21,317.25
31.01.20,108.86,93.73,12.255,325.55
28.02.20,98.85,81.25,10.6,309.7
31.03.20,97.44,76,9.07,296.65
30.04.20,102.98,85.06,10.79,341.85
29.05.20,103.86,83.03,10.3,332.7
30.06.20,104.92,83.37,10.825,331.45
31.07.20,110.68,77.11,10.87,328.55
31.08.20,108.86,78.17,11.155,313.5
30.09.20,109.7,80.5,10.125,320.2
30.10.20,103.1,71.11,10.565,293.9
30.11.20,102.3,81.06,13.16,302.5
31.12.20,104.6,82.48,12.525,306.95
29.01.21,100.04,80.53,12.875,307.15
26.02.21,95,78.19,14.1,297.95
